CLIENT_NAME,SELLING_HOURLY_PRICE,MIN_QUALITY,WILDCARD
Accesstra,25,7,Quality
AccuBank Industries,30,7,Deadline
AccuBuild Industries,35,7.5,Quality
AccuPulse,25,7.5,Deadline
Accura Systems,40,7.5,Price
AccuSense,25,7,Deadline
AccuTech,20,7,Quality
AccuVision,25,7,Quality
Acme Corporation,20,0,Deadline
AcmeTech,25,7,Quality
Acrylon,30,7,Quality
Acuity Automation Solutions,25,7.5,Deadline
AdeptTech,25,7,Deadline
AdMakers Industrial,20,8,Price
Advanced Manufacturing,25,0,Deadline
AdvancedEndo,25,7,Quality
AdvancedHealthTech,35,8,Quality
AdVantage Solutions,20,7.5,Price
Advantech Machinery,25,0,Deadline
AdWorks Manufacturing,25,7.5,Price
AeroAdventures,25,7,Deadline
AeroCargo Solutions,20,8,Price
AeroChem,25,8,Price
AeroComposites,20,0,Deadline
AeroDrill Industries,25,7,Quality
Aerodyne Tech,35,7,Quality
AeroFab,25,7.5,Price
AeroForge,25,0,Price
AeroForge Corporation,20,8,Quality
AeroFresh,20,7,Deadline
AeroGuard,35,0,Deadline
AeroHealth Systems,20,0,Deadline
AeroIndustries,25,7,Quality
AeroLand,20,7.5,Price
AeroLeisure,25,0,Price
AeroLink Logistics,20,8,Quality
AeroLogic,45,8,Quality
AeroLogix,20,7.5,Deadline
AeroMech Industries,25,7,Deadline
AeroMed,40,7,Price
AeroMed Industries,25,0,Price
AeroMedical Devices,30,0,Deadline
AeroMetrix Industries,25,7.5,Quality
AeroMotive Solutions,20,8,Quality
AeroNet,25,7,Quality
AeroPro,25,7,Deadline
AeroPulse Solutions,25,8,Price
Aerospace & Defense,30,0,Price
AeroSysTech,35,7,Deadline
AeroTech,20,0,Deadline
AeroTech Industrial Systems,35,0,Deadline
AeroTech Services,30,8,Quality
AeroWorks,20,8,Deadline
AeroWorks Industries,30,8,Quality
AetherPharm,25,7,Price
AetherWorks,30,0,Price
Aethos Dynamics,20,7.5,Deadline
Agile Industrial,20,0,Deadline
AgileMotive,30,7,Deadline
AgileTech,25,0,Deadline
Agricultural Machinery,25,7,Quality
Agrigenius,30,7,Quality
AgriPro,25,7.5,Deadline
Agri-Tech,30,7.5,Deadline
Agritech Solutions,35,7,Deadline
AgroChem Solutions,40,7,Deadline
AgroLogix,35,0,Price
AgroMech,25,7,Quality
Agro-Motion,25,0,Deadline
AgroMotive,25,7,Quality
Agronics,20,7.5,Deadline
Agronome,25,7,Price
Agroquip,25,7,Price
AgroTech Industries,20,7,Quality
AgroTechWorks,35,8,Deadline
AirBridge Services,35,0,Price
AirFlow Dynamics,30,0,Deadline
AirMasters,30,7,Price
AirPro,25,7.5,Price
Airtech,35,7,Deadline
AirTech Cargo,20,0,Deadline
alent Builders Inc.,25,7.5,Deadline
alentBridge Solutions,30,7,Quality
AlgoIndustries,30,8,Price
AlgoSys,25,7,Deadline
AllaHuAk,25,7,Price
Alliance Industrial,25,7.5,Price
AlloyWorks,30,0,Deadline
Alpha Air Systems,25,7.5,Quality
Alpha Consulting,25,8,Quality
Alpha Industrial Solutions,25,0,Deadline
AlphaNet,20,7,Price
AlphaTech Industrial Services,25,7,Quality
AlphaWorks,25,7.5,Deadline
AlphaZone,50,7,Deadline
Altitude Solutions,20,7.5,Price
Alumitronix,20,0,Price
Ampere Industrial Works,20,7,Deadline
Amplexus Industries,40,7.5,Price
Amplify Inc,20,8,Deadline
Amplitude Systems Corp.,20,7,Price
Apex Assembly,40,7.5,Price
Apex Asset Services,25,7.5,Price
Apex Automation,25,0,Price
Apex Automotive Systems,20,8,Deadline
Apex Capital Partners,25,7,Price
Apex Connect,20,7.5,Quality
Apex Consulting,25,7.5,Quality
Apex Corporation,25,8,Deadline
Apex Cybernetics,25,0,Price
Apex Dynamics Semiconductors,25,0,Deadline
Apex Electric Equipment,35,7,Price
Apex Enterprises Group,40,8,Deadline
Apex Global,20,7,Deadline
Apex Holdings,25,0,Price
Apex Industrial,20,8,Price
Apex Industrial Finance,20,7.5,Price
Apex Industrial Health Care,20,7.5,Price
Apex Industrial Rubber Company,25,7,Price
Apex Innovations,40,7,Quality
Apex Motors,25,7,Deadline
Apex Specialty Properties,25,8,Quality
ApexCare,25,7,Price
ApexFlow,25,7.5,Price
ApexMasters Industries,20,7.5,Quality
ApexMed,25,8,Price
ApexPharma,20,8,Price
ApexPrint Corp.,25,7,Price
ApexTech,25,0,Deadline
Apextronics,20,7.5,Deadline
ApexWorks,40,7,Deadline
ApexXcel,85,0,Price
Appcelerate,25,7,Deadline
AppFactory,25,7.5,Quality
AppGear,25,8,Deadline
AppGenius,25,7,Price
ApplicaPro,25,7,Quality
Applicon,20,8,Quality
Appliconics,20,7.5,Deadline
AppTech Solutions,25,0,Deadline
AppTronics,25,7.5,Quality
Appvise,65,7,Quality
AppWorks,80,0,Deadline
AquaAir,20,0,Price
AquaArena,25,7,Quality
AquaFlow,25,7.5,Deadline
AquaFoam Solutions,40,7,Quality
AquaLux,25,7.5,Deadline
AquaPure Systems,25,8,Quality
AquaPurify,35,8,Quality
AquaSteel,20,7.5,Deadline
AquaTech,25,7,Price
AquaVista Hotels & Infrastructure,20,8,Deadline
AquaZone,25,7,Price
Arcadia Automation Systems,20,0,Price
Arcadian Chemicals,40,7,Deadline
Arcadian Electric,30,0,Price
ArcadiaTech,30,7,Price
Arcane Automation,35,0,Deadline
ArcFlashTech,30,0,Price
Archstone Financial,25,8,Deadline
ArcLight,20,7,Price
Arcturus,20,0,Deadline
ArteVida,20,0,Price
ArtEvo,25,8,Price
ArtiCraft,20,7,Deadline
ArtifexZoo,30,8,Price
Artisan Abode,20,7,Deadline
Ascend Enterprises,25,7,Quality
Askaden,25,7.5,Quality
Aspen Aesthetic,25,7,Quality
Aspirex,25,7.5,Quality
Assembly Avenue,40,7,Deadline
AssemblyWorks,20,7,Deadline
Assembyte,25,7.5,Deadline
AssemTech,25,7,Price
AssetMind,30,7.5,Price
AssetShield Insurance,20,7.5,Quality
Astra Aerospace,25,0,Price
Atlas Assembly,40,7.5,Deadline
Atlas Corporation,30,7,Deadline
Atlas Foundry,40,7,Quality
Atlas Industrial and Development Corporation,20,0,Price
Atomix,25,7,Deadline
Auralux Chemicals,25,7.5,Deadline
Aurora Aerospace,20,7.5,Price
Auto Parts Prodigy,25,0,Deadline
AutoAlchemy,25,7.5,Quality
AutoArtisan,25,7,Price
AutoBoost,20,7,Price
AutoChoice,20,7,Quality
AutoGenius,30,7,Quality
AutoMakers,65,7.5,Price
Automatech,25,0,Deadline
Automatek,25,7,Quality
AutomateQ,25,0,Price
AutoMaven,25,7,Price
Autonix,20,0,Deadline
AutoPlanner,25,7,Quality
Autoquipra,25,7.5,Deadline
AutoTech,25,7.5,Quality
Autovance,30,0,Price
AutoWorks,30,7,Quality
Autozonix,25,8,Quality
Avenir Dynamics,20,7.5,Price
Axiom Applications,20,7,Price
Axiom Industrial,25,7,Deadline
Axiom Services,25,7,Price
Axiomatic Industries,20,8,Price
AxiomTech,35,0,Price
AxiomWorks,25,7.5,Quality
Axion Automotive Solutions,35,8,Deadline
Axionics,20,8,Quality
AxisTech,25,8,Quality
AzarDivertido,60,7,Price
Baxtex Manufacturing,25,0,Price
BayShore,35,7,Price
BayView Industries & Cruise Line,20,7,Deadline
Bella Home Decor,30,7,Deadline
BelleMode,25,7,Quality
BestMarks,30,8,Deadline
Bienestar360,20,0,Deadline
BienestarTotal,25,8,Price
BigBolt,25,0,Price
BigRigTech,20,8,Price
BioAgra,20,0,Deadline
BioBoost,25,7,Deadline
BioCare,20,7,Price
BioClean,25,7.5,Deadline
BioConic,25,8,Price
BioCore,35,7.5,Quality
BioFabrica,25,7,Quality
BioFusion,30,8,Deadline
BioGenX,20,0,Price
BioInnovate,25,0,Price
BioLogic,25,7,Price
BioLubricants Inc.,25,8,Quality
BioMatixx Materials,25,8,Quality
BioMatrix Materials,25,7,Quality
BioMechTech,20,7,Price
BioMed,20,8,Quality
BioMotive,20,0,Deadline
Bionix Corporation,25,7.5,Deadline
BioNova,25,7,Quality
BioPro Manufacturing,25,7,Price
BioProTech,25,7,Deadline
BioScience Innovations,25,0,Price
BioSculpture Materials,25,7,Deadline
BioSolutions,20,7,Deadline
BioSolutions Inc.,20,0,Deadline
BioSource,20,7,Deadline
BioSphere,20,7.5,Quality
BioSupply Innovations,25,7,Price
BioSynth Innovations,25,7,Deadline
BioTech Facilities,20,7,Quality
BioTech Manufacturing Group,25,0,Deadline
BioTechInnovate,25,7,Deadline
BioTechPlus,20,8,Quality
BioTechSolutions,25,7,Deadline
BioTechTools,35,0,Deadline
BiotechVision,25,7,Quality
BiotechWorks,20,0,Deadline
BioWave,25,7,Deadline
BitBridge,25,7.5,Quality
Bites&Brews,25,0,Deadline
Blackout Industries,25,7.5,Quality
BlackRock Railways,20,7.5,Deadline
Blackstone Drilling,40,7.5,Quality
Blaze Oil & Gas,25,7.5,Price
BlazeDirect,25,8,Price
Blue Flame Energy,40,7.5,Quality
Blue Ridge Industrial Properties,25,7,Quality
Blue Ridge Investments,20,0,Deadline
Blue Sky Express,45,7.5,Price
Bluebird Wireless,35,7.5,Price
BlueBloom,25,8,Deadline
BlueBolt,25,7,Price
BlueCollar University,20,0,Price
BlueCollarTech,20,0,Price
BlueFlame Industries,25,7,Deadline
BlueGlobe,30,7,Quality
BlueHills,25,8,Deadline
BlueLine Software,35,0,Deadline
BlueMelt,20,8,Quality
BluePixel Studios,20,7,Price
BluePrint Industries,20,7,Deadline
BlueShift Robotics,25,8,Quality
BlueSky Ad Agency,25,0,Deadline
BlueSky Express,25,8,Price
BlueStar Industrial,20,7.5,Price
BlueStream,25,7.5,Price
BlueWave Energy,40,7,Deadline
BlueWave Industries & Resorts,35,7.5,Quality
Bluewave Semiconductors,25,7,Deadline
BluNova,25,7,Deadline
Boho Bazaar,25,0,Price
Bold Ventures,25,7,Quality
BoldVentures,25,7,Quality
Bolt & Bite Restaurants Inc.,35,7,Deadline
BondBridge,25,7,Deadline
BrainWave Solutions,30,8,Deadline
BrandBoosters Manufacturing,20,0,Price
BrandWave Marketing,25,0,Deadline
Brick & Mortar Co.,60,7,Deadline
BrickStone,25,7.5,Price
BridgeTech,25,7,Price
Bridgeview Finance,25,0,Deadline
BridgeWorks Engineering,20,7,Quality
BrightBots,25,7,Quality
BrightSight Engineering,20,8,Deadline
BrightSol Chemicals,25,7.5,Price
BrightWave,30,7.5,Quality
Brightway Builders,25,8,Deadline
BrightWorks,25,7.5,Quality
Brooklyn Brownstone,20,0,Price
BTP,30,7,Price
Bubblesque Beverages,20,0,Deadline
BuildBotics,55,0,Deadline
BuildEquip,30,0,Price
BuildForge,25,7,Deadline
BuildMaster,20,0,Price
BuildMate,25,7,Deadline
BuildPro,25,0,Deadline
BuildProTech,20,8,Deadline
Buildrite,25,7,Deadline
Buildware,30,0,Price
BuildWorks,20,8,Deadline
Byte Haven,20,7.5,Deadline
ByteBuilders,20,7,Deadline
ByteLab,30,7,Price
ByteNet,25,8,Quality
CallMax,30,0,Deadline
CallNet,25,7.5,Price
CapitalBridge Inc.,20,8,Price
CapitalCare,20,0,Price
CapitalForge,20,0,Price
Capstone Management,25,0,Deadline
Carbon Solutions Inc.,20,0,Deadline
CarbonForge,25,7,Price
CarConnoisseur,25,7,Quality
CarCrafter,20,7.5,Quality
Cardiactix,20,8,Price
CareBay,20,7,Price
CareCore,20,7.5,Price
CareCore Inc.,20,7,Price
CareEssential Innovations,25,0,Deadline
CareForce,25,7,Deadline
CareGate,20,7,Price
CareGear Innovations,25,7,Deadline
CareGenius Corp.,25,7,Deadline
CareGenius Technologies,25,7.5,Quality
CareLife Corp.,25,7,Price
CareLink,25,7.5,Deadline
CareLink Equipments,20,0,Price
CareLogistics Corporation,20,7.5,Quality
CareMaxx Dynamics,20,0,Deadline
CarePro Technologies,25,7,Quality
CareScape,35,8,Deadline
CareShield Tech,25,7,Price
CareSphere,25,7,Price
CareSquad,25,7.5,Quality
Caretronics,20,7,Deadline
CareVantage Corp.,35,7,Quality
CareView,20,0,Deadline
CareWise Innovations,30,8,Deadline
CarZone,35,0,Price
Cascade Industrial,25,7.5,Quality
Catalyst Equipment Co.,20,7,Price
Catalyst Industrial,25,7,Price
Catalyst Ventures,30,0,Price
CatalystIndustries,25,7,Quality
CatalystSoft,25,7.5,Quality
Cedar Creek Advisors,20,0,Deadline
CementWorks,25,7,Quality
Cemtex,20,7.5,Quality
CentralCom,25,0,Deadline
Centurion Defense,40,7,Deadline
Centurion Heavy Industries,30,8,Deadline
Ceramco,25,0,Price
ChainCraft,20,7.5,Deadline
Chemcorp,25,7,Quality
ChemicalMarket,25,8,Price
ChemiSpec,20,7,Quality
Chemplus,25,7.5,Quality
Chemstrat,30,0,Price
Chemwell,25,0,Deadline
Chic Chateau,25,7,Deadline
ChicDesigns,30,0,Deadline
ChipTopia,25,8,Deadline
CineCorp Industries,20,8,Deadline
CineMachining,25,7,Price
CircuitCore,25,7,Deadline
CircuitDesign,25,0,Price
CircuitLogic,25,0,Deadline
CircuitMax,25,7,Deadline
CircuitPro,60,7,Price
Circuitree,25,7.5,Price
Circuitronix,25,0,Price
Circuitry Solutions,40,7,Deadline
Circuitwise,30,8,Quality
CircuitWorks,20,7.5,Quality
CircuitWorks Corporation,25,7,Deadline
Citiworks,25,7,Deadline
CityPalms,30,7,Price
CleanCharge Inc,35,0,Price
CleanCoat,30,7.5,Price
CleanHands Logistics,20,0,Price
CleanHealth,20,0,Deadline
CleanMed Industries,20,0,Deadline
CleanTech Solutions,20,7,Quality
CleanWash Co.,40,7,Price
ClearComm,25,0,Deadline
ClearCycle,20,7,Deadline
ClearNet,20,7.5,Price
ClearSpace Innovations,25,7.5,Price
ClearTrack Industries,30,7,Deadline
Clearview Investments,25,7.5,Quality
Clearview Securities,20,0,Price
ClearVision AI,25,8,Deadline
ClearWater,25,7,Price
ClearWater Environmental,25,0,Deadline
Clickforce,30,7,Quality
ClínicaDigital,35,7,Quality
ClínicaWeb,20,0,Price
CloudLab,20,8,Deadline
Cloudline Solutions,20,7,Price
CloudNation,25,8,Quality
CloudNet,25,7.5,Deadline
CloudScape,25,7,Quality
Cloudware,40,7,Price
CloudWorks,25,7.5,Quality
Coastal Cottage,30,7.5,Deadline
Coastal Industries & Cruise Line,20,0,Deadline
Coastal Real Estate Holdings,40,0,Deadline
Coastline,25,0,Price
Code360,20,7,Price
CodeCraft,25,7.5,Quality
CodeCrush,30,7,Quality
CodeForge,25,7.5,Quality
CodeLab,25,7.5,Deadline
CodeLine,25,7,Quality
CodeNet,25,7,Deadline
CodeWave Solutions,25,7,Deadline
CodeWorks,25,7,Price
Cogent Innovations,25,7,Price
Cognicom Industrial,20,7.5,Deadline
Cognitix,30,0,Price
ColorBlind,25,7,Deadline
ComfiHomes,40,7,Quality
ComfyZone,25,7.5,Price
Commlink,25,7.5,Price
CommSolutions,70,0,Price
CommuniLink,35,7,Deadline
CommuniPro,35,0,Deadline
CommuniServe,35,7,Quality
CommuniTech,25,7,Deadline
ComNet,30,8,Price
CompraSmart,30,7,Deadline
ComunicaciónDirecta,25,0,Price
Comunicar360,45,8,Quality
Comunicarex,20,8,Quality
ComunicarPro,30,8,Deadline
ComunicaYa,35,7.5,Deadline
ComuTech,40,7,Quality
ConBuild,25,7,Price
ConectaMax,25,0,Deadline
ConexiónGlobal,20,0,Deadline
ConexiónTotal,20,8,Price
ConnectaBro,25,7,Price
ConnectCast,20,0,Price
ConnectEdge Innovations,20,7,Quality
Connectr Communications,25,7,Quality
Constructa,25,0,Deadline
ConstructCorp,25,7,Quality
ConstructiGenius,25,7.5,Quality
Constructive Co.,25,0,Deadline
Constructivus,30,7.5,Price
Constructo,30,8,Price
ConstructoTruck Industries,25,7,Deadline
ConStructPro,25,7,Quality
Contour Engineering,25,8,Deadline
ControlEdge,20,7.5,Deadline
ControlLogic,20,7.5,Price
ControlSoft,30,7,Quality
ConvergeCo,20,7.5,Quality
Convergent Materials Corp.,25,7,Price
Conveyor & Cookery Manufacturing Co.,30,7.5,Quality
Copper Cask,25,0,Deadline
Core Equipment,25,0,Price
CoreCast,20,7,Deadline
CorePulse Technologies,30,7,Quality
CoreTech Industrial Automation,20,0,Deadline
CoreTech Innovations,25,7,Price
Coruscant Senate,40,7.5,Deadline
CosmoCon,20,7,Quality
Council of Elrond,35,0,Deadline
Cozy Casa,20,8,Quality
Craftech Industries,25,7,Price
CraftKings,25,7,Quality
Craftsmanship Academy,20,0,Deadline
Craton Machines,25,7,Quality
Creative Minds Tutoring,20,0,Deadline
CreativWorks,30,7.5,Quality
Crestwood Dynamics,25,0,Price
Crimson Cellars,35,7,Deadline
Crimson Exploration,30,8,Quality
CropTech,25,7,Quality
CruiseTech Industries,35,8,Deadline
Crystal Resorts & Infrastructure,20,7,Quality
Culinaire,20,0,Price
CuraFácil,25,0,Price
CuraOnline,25,7.5,Deadline
CureCare Innovations,25,7,Price
CureEquip Co.,20,7.5,Price
CureGuardian Corp.,20,0,Price
CureLab,20,7.5,Quality
CureLink Innovations,25,0,Price
CurrencyHub,25,7.5,Quality
Current Control Systems,25,7,Quality
CurrentTech,20,0,Deadline
Cyber Machinery,20,7.5,Price
CyberCentral,20,8,Price
Cyberconix Solutions,25,8,Quality
Cyberdyne Systems Corporation,35,8,Deadline
CyberIndustries,25,0,Price
CyberMech,40,8,Quality
CyberMind,25,7.5,Price
Cybersonix,25,7,Deadline
CyberTronics,30,7,Price
CyberWise,20,8,Quality
CyberWorks Solutions,40,7.5,Price
Cybros,30,7.5,Deadline
Cybrospection,25,7,Deadline
CycleCrafters,25,7,Price
Cyclonic Manufacturing,25,0,Price
Cygnus Industrial Technologies,25,7,Price
CygnusIndustries,20,7.5,Price
CygnusTech,25,8,Quality
Czerka Corporation,20,7,Quality
DataBoost,25,7,Deadline
DataBridge,35,0,Deadline
DataCall,35,7.5,Deadline
DataCom,40,7.5,Deadline
DataCrunch,25,7,Price
Datadeck,40,0,Price
DataDriven Dynamics,25,0,Deadline
DataDriven Solutions,25,8,Price
DataFlow,30,8,Quality
DataForge,35,0,Price
DataFortify,25,7,Deadline
DataFusion,20,0,Deadline
DataHive,25,7.5,Quality
DataLab,25,7.5,Price
DataMinds,25,7,Deadline
DataNet,25,0,Deadline
DataPulse,20,7,Deadline
DataRealm,25,7,Deadline
DataScope,25,8,Price
DataStream,25,7.5,Quality
DataTech Solutions,25,7,Quality
DataVibe,25,7,Quality
DataWise,20,8,Price
DataWorks,20,7,Quality
DataXcelerate,25,7,Quality
Davenport Capital,25,8,Price
Delphi Works,25,7,Deadline
Delta Contracting,25,7,Quality
Delta Design,25,0,Price
DeltaTech Manufacturing,25,0,Price
DeltaV Solutions,25,0,Price
DeltaVision Engineering,40,0,Deadline
DentalDyne,25,7,Price
Department of Mysteries,30,0,Deadline
DerivativesX,20,0,Deadline
DesarrolloWeb,35,7.5,Deadline
DesarrolloYa,25,7,Price
Desert Digs,30,7,Quality
Diamond Designs,25,7.5,Price
Diamond Destiny Casinos,20,0,Price
Digital Dreamers,25,7.5,Quality
Digital Pipeline,20,8,Deadline
DigitalCrest,25,7,Quality
DigitalForge Technologies,25,0,Price
DigitalFuse Technologies,25,0,Price
DigitalHarbor,25,7.5,Deadline
Digitalityx,45,7,Deadline
DigitalPrint Innovations,25,0,Deadline
DigitalPro,25,8,Deadline
DigitalPulse,35,8,Quality
DigitalTech,45,0,Deadline
DigitalWorks,25,0,Deadline
DigitalWorks Solutions,25,7,Quality
DINAMO A4,25,0,Price
Direct Supply,20,0,Deadline
DisfrutaYa,20,7,Price
DiverBank Industries,35,0,Deadline
Diverchem,25,0,Price
Divergent Finance,25,7,Price
Divergent Industries Bank,20,0,Price
DiverInd,25,7.5,Deadline
Diverse Dynamics,25,7,Quality
DiversiFunds,20,7,Price
Diversión24,20,8,Quality
DreamBuilders,20,0,Price
DreamMakers,25,0,Price
DreamWorks Solutions,25,8,Quality
DreamyParks,25,0,Deadline
Drill & Diner Manufacturing Corp.,35,7,Quality
Drillmax Energy,35,0,Deadline
DriveCore,25,7.5,Deadline
DriveDynasty,30,7,Quality
DriveLine Motors,25,7.5,Deadline
DriveTrain Dynamics,25,0,Deadline
Dune Energy Corporation,25,7,Quality
DuraStitch,25,7,Quality
DynaFlow,25,0,Price
DynaFlow Solutions,20,8,Price
Dynaforce,25,7.5,Price
DynaForge,25,0,Price
DynaIndustries,25,7.5,Quality
DynaMation,25,7.5,Quality
Dynamo Industries,40,7.5,Deadline
DynaMotive,20,0,Deadline
DynaSource,25,7,Deadline
DynaStructures,25,7,Quality
DynaTech,25,7,Deadline
DynaWorks,25,7,Deadline
Dynax Inc,25,7,Price
DynoTech,25,7,Quality
Eagle Eye Industries,25,7,Quality
Echelon Manufacturing Co.,20,0,Deadline
Echelon Solutions,25,8,Quality
Echelon Tire Corporation,25,7.5,Quality
EchoMedia Solutions,25,7,Quality
echWorks Inc.,20,7,Price
Eclipse Industries,25,7.5,Deadline
EcoCycle Inc.,35,8,Deadline
EcoEdge,20,7,Price
EcoEnergy,25,7,Deadline
EcoFacil Solutions,25,7,Deadline
Eco-Friendly Manufacturing,20,7,Quality
EcoFuture,45,7,Price
EcoGuard,25,7.5,Quality
EcoHealth Solutions,20,0,Price
EcoMed,30,7,Quality
EcoMetrix,20,0,Price
EcoPackaging Solutions,25,7,Deadline
EcoPharm Industries,25,0,Price
EcoSolar,25,7,Price
EcoUtility,50,7.5,Quality
EcoVolt Energy,25,0,Deadline
EcoWorks,25,7,Deadline
EcoZone,25,7.5,Quality
Edgecut Industries,30,0,Price
EdgePath,25,7.5,Deadline
EdIndustrial,20,0,Deadline
EducaTrainning,25,8,Price
EduManufacturing,20,7,Deadline
Efficient Assembly Inc,25,0,Price
El Ammo Bandito,30,7,Deadline
Electra Components & Systems,25,7,Deadline
Electra Works,20,0,Price
ElectraForge,25,8,Price
ElectraLogic Works,25,7,Quality
ElectraMech,25,0,Deadline
ElectraTech Solutions,25,7,Deadline
ElectraTrans,20,7.5,Price
ElectraWorks,30,0,Deadline
Electric Vision Corp.,25,7,Deadline
